Year,Month,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,California,Florida,Texas,NY,Cal_case,Flo_case,Tex_case,NY_case,US_case
2010,Jan,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9,12.6,10.9,8.3,9,0,0,0,0,0
2011,Jan,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9,7.9,12.3,10.6,8.2,8.4,0,0,0,0,0
2012,Jan,13,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6,11.2,9.2,7.1,8.6,0,0,0,0,0
2013,Jan,12,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2,9.7,8,6.5,8.3,0,0,0,0,0
2014,Jan,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8,8.2,6.9,5.7,7,0,0,0,0,0
2015,Jan,8.3,5.4,5.2,2.8,4.9,10.3,4,6.7,5.3,5,6.8,5.9,4.6,5.7,0,0,0,0,0
2016,Jan,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5,5.7,5.1,4.5,4.8,0,0,0,0,0
2017,Jan,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4,5.2,4.7,4.8,4.7,0,0,0,0,0
2018,Jan,5.4,4.4,3.4,2.1,3.5,7.5,3,5,3.8,3.6,4.4,4,4.1,4.5,0,0,0,0,0
2019,Jan,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6,4.3,3.5,3.7,3.9,0,0,0,0,0
2020,Jan,5.5,3.8,2.8,2,3.1,6,3,4.3,3.3,3.2,4.1,2.8,3.4,3.9,13,0,0,0,41
2021,Jan,9.1,7.1,6.2,4,5.7,9.2,6.6,8.6,6,6,8.8,6,6.7,8.6,92588471,47886722,65807240,37738018,733762462
2010,Feb,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8,12.6,10.9,8.3,9,0,0,0,0,0
2011,Feb,14,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9,12.2,10.5,8.2,8.3,0,0,0,0,0
2012,Feb,13.1,8.3,7.2,4.2,7.4,14,6.2,10.9,7.7,7.6,11,9.1,7,8.6,0,0,0,0,0
2013,Feb,11.3,7.9,6.5,3.9,6.8,13.8,6,9.7,7,7,9.5,8,6.6,8.2,0,0,0,0,0
2014,Feb,9.8,6.4,6,3.4,5.8,11.8,5.9,8.2,6.3,5.9,8.1,6.8,5.6,6.8,0,0,0,0,0
2015,Feb,8.2,5.4,5,2.7,4.7,10.1,4,6.8,5.2,4.9,6.7,5.8,4.5,5.6,0,0,0,0,0
2016,Feb,7,5.2,4.2,2.5,4.3,8.5,3.8,5.4,4.5,4.5,5.6,5,4.4,4.8,0,0,0,0,0
2017,Feb,7.7,4.9,4,2.4,4,7.9,3.4,5.5,4.3,4.2,5.1,4.6,4.7,4.6,0,0,0,0,0
2018,Feb,5.7,4.4,3.5,2.2,3.7,6.7,2.9,4.9,3.7,3.8,4.3,3.9,4,4.4,0,0,0,0,0
2019,Feb,5.3,3.7,3.1,2.2,3.3,6.9,3.1,4.3,3.5,3.4,4.2,3.5,3.6,3.9,0,0,0,0,0
2020,Feb,5.7,3.6,3,1.9,3.1,5.8,2.5,4.4,3.3,3.1,4.1,2.7,3.5,3.9,244,0,0,0,420
2021,Feb,10.1,7.2,5.9,3.8,5.6,9.9,5.1,8.5,6,5.9,8.6,5.6,6.6,8.4,98972712,51110285,72509527,43092026,776828495
2010,Mar,14.9,11,8.4,4.9,8.9,16.8,7.6,12.9,10.2,8.1,12.6,10.9,8.3,8.9,0,0,0,0,0
2011,Mar,14.1,9.7,7.5,4.4,8,15.8,7.3,11.6,8.8,7.8,12.1,10.4,8.1,8.2,0,0,0,0,0
2012,Mar,12.8,8.1,7.5,4.1,7.3,14,6.4,10.6,7.7,7.4,11,9,6.7,8.7,0,0,0,0,0
2013,Mar,11.1,7.7,6.3,3.8,6.7,13,5.1,9.3,6.9,6.9,9.4,7.9,6.5,8.1,0,0,0,0,0
2014,Mar,9.4,6.3,6,3.4,5.8,12.1,5.5,7.9,6.1,6.2,8,6.7,5.5,6.7,0,0,0,0,0
2015,Mar,8.6,5.3,4.8,2.4,4.8,9.9,3.2,6.8,5.1,4.9,6.6,5.8,4.5,5.6,0,0,0,0,0
2016,Mar,7.3,5.3,4.1,2.6,4.3,8.9,3.9,5.5,4.5,4.6,5.6,5,4.5,4.8,0,0,0,0,0
2017,Mar,6.6,4.9,3.7,2.4,3.9,7.9,3.3,5,4.2,3.9,5,4.5,4.6,4.6,0,0,0,0,0
2018,Mar,5.5,4.3,3.5,2.2,3.6,6.8,3.1,5,3.7,3.7,4.3,3.9,4,4.3,0,0,0,0,0
2019,Mar,5.8,3.7,3.4,2,3.4,6.6,3.1,4.7,3.6,3.3,4.2,3.4,3.5,3.8,0,0,0,0,0
2020,Mar,6.8,4.4,3.7,2.5,4,6.7,4.1,6,4,4,5.5,4.5,5.1,3.9,53289,33497,21333,459033,1121565
2021,Mar,8.2,6.7,5.9,3.7,5.4,9.6,6,7.9,5.8,5.7,8.4,5.4,6.4,7.9,114248991,61554303,85890518,54448749,919640537
2010,Apr,14.7,10.8,8.4,4.8,9,16.6,7,12.5,10.2,8.3,12.5,10.9,8.2,8.8,0,0,0,0,0
2011,Apr,14.7,9.9,7.5,4.5,8.1,16.5,6.5,11.9,8.9,8,12,10.3,8.1,8.2,0,0,0,0,0
2012,Apr,12.5,8,7.6,4,7.4,13.3,5.4,10.3,7.6,7.4,10.9,8.9,6.8,8.8,0,0,0,0,0
2013,Apr,11.6,7.5,6.4,3.9,6.7,13.3,5.3,9,7.2,6.7,9.3,7.8,6.5,8,0,0,0,0,0
2014,Apr,8.7,6.2,5.7,3.3,5.3,11.6,5.9,7.2,5.9,5.6,7.8,6.7,5.4,6.5,0,0,0,0,0
2015,Apr,8.4,5.5,4.7,2.7,4.7,9.7,4.4,6.8,5,5,6.5,5.7,4.5,5.5,0,0,0,0,0
2016,Apr,7.6,5.5,4.2,2.4,4.4,8.8,3.8,6.1,4.6,4.6,5.5,4.9,4.5,4.8,0,0,0,0,0
2017,Apr,6.4,4.6,3.7,2.5,3.9,7.9,3.3,5.1,3.9,4.1,5,4.4,4.5,4.6,0,0,0,0,0
2018,Apr,5.8,4.3,3.4,2.1,3.6,6.4,2.8,4.8,3.7,3.5,4.2,3.8,4,4.2,0,0,0,0,0
2019,Apr,5.3,3.4,3.1,2.1,3.1,6.6,2.2,4.2,3.4,3.1,4.1,3.4,3.5,3.7,0,0,0,0,0
2020,Apr,21.2,17.3,15,8.4,14.2,16.7,14.5,18.9,13,15.5,15.9,13.2,12.6,16.2,854561,668452,369373,6497427,19836514
2021,Apr,9.3,6.9,5.8,3.5,5.3,9.7,5.7,7.9,6.1,5.6,8.3,5.1,6.2,7.8,113165874,64514411,86432863,59305995,947649319
2010,May,14.6,10.9,8.2,4.6,8.7,15.5,7.8,12,9.7,8.1,12.5,10.8,8.2,8.8,0,0,0,0,0
2011,May,14.5,9.6,7.8,4.5,7.9,16.3,7.2,11.6,8.8,8,12,10.2,8.2,8.2,0,0,0,0,0
2012,May,12.9,8.3,7.7,3.9,7.4,13.5,5.5,10.9,7.7,7.4,10.8,8.9,6.8,8.8,0,0,0,0,0
2013,May,11,7.3,6.5,3.9,6.7,13.4,4.5,9,7.1,6.5,9.2,7.6,6.4,7.9,0,0,0,0,0
2014,May,9.2,6.5,5.5,3.2,5.4,11.4,5.7,7.7,5.9,5.8,7.7,6.6,5.3,6.4,0,0,0,0,0
2015,May,8.7,5.8,4.4,2.8,4.8,10.3,4.1,6.8,5.2,5.1,6.4,5.7,4.4,5.4,0,0,0,0,0
2016,May,7.5,5.1,3.9,2.5,4.2,8.2,4.2,5.6,4.5,4.3,5.5,4.9,4.6,4.8,0,0,0,0,0
2017,May,6.3,4.8,4.1,2.3,3.8,7.7,3.7,5.2,4,4.1,4.9,4.3,4.4,4.6,0,0,0,0,0
2018,May,5.5,3.9,3.3,2,3.5,5.9,2.2,4.9,3.6,3.4,4.2,3.7,3.9,4.1,0,0,0,0,0
2019,May,5.4,3.6,2.8,2.1,3.3,6.2,2.5,4.2,3.4,3.3,4.1,3.3,3.4,3.7,0,0,0,0,0
2020,May,19.9,15.3,13.3,7.4,12.4,16.8,15,17.6,11.6,13.9,16.1,13.9,11.8,16.5,2492673,1396266,1209742,10799300,45295859
2021,May,9.1,6.8,5.9,3.2,5.1,9.1,5.5,7.3,5.9,5.4,7.9,4.9,5.9,7.4,118803680,70924763,91943427,64552427,1023416131
2010,Jun,14.2,10.6,8.1,4.4,8.6,15.2,7.4,12.3,9.7,7.7,12.4,10.8,8.1,8.7,0,0,0,0,0
2011,Jun,14.4,10,8.3,4.3,8.1,16.2,6.5,11.5,9,8,12,10.1,8.3,8.3,0,0,0,0,0
2012,Jun,12.6,8.6,7.3,4,7.3,14.5,6.1,10.9,7.7,7.4,10.7,8.8,6.8,8.8,0,0,0,0,0
2013,Jun,10.7,7.7,6.5,3.8,6.6,14.2,4.7,9.1,7,6.8,9.1,7.6,6.4,7.9,0,0,0,0,0
2014,Jun,9.2,5.9,5.2,3.3,5.3,11,4.7,7.8,5.7,5.3,7.6,6.5,5.2,6.3,0,0,0,0,0
2015,Jun,8.2,5.4,4.2,2.5,4.6,9.7,3.9,6.7,4.8,4.7,6.3,5.6,4.4,5.3,0,0,0,0,0
2016,Jun,7.6,5.1,4.2,2.5,4.3,8.8,3.5,5.9,4.5,4.4,5.5,4.9,4.7,4.9,0,0,0,0,0
2017,Jun,6.5,4.6,3.8,2.3,3.8,7.1,3.6,4.9,4,4,4.9,4.3,4.3,4.6,0,0,0,0,0
2018,Jun,5.5,4.1,3.3,2.3,3.5,6.5,3.2,4.5,3.7,3.6,4.2,3.7,3.9,4,0,0,0,0,0
2019,Jun,5.3,3.9,3,2.1,3.3,6,2.1,4.3,3.3,3.3,4,3.3,3.4,3.7,0,0,0,0,0
2020,Jun,16.6,12.1,10.9,6.9,10.1,15.4,13.8,14.5,10.2,11.2,14.1,11.6,10.1,13.7,4972470,2637866,2949790,11589235,64824520
2021,Jun,10.2,7,5.8,3.5,5.2,9.2,5.8,7.4,5.9,5.5,7.9,4.8,5.9,7.4,116124787,70395623,90475797,63291737,1007923759
2010,Jul,13.5,10,8.3,4.5,8.5,15.6,7.9,12.2,9.6,7.9,12.3,10.8,8.1,8.6,0,0,0,0,0
2011,Jul,14.5,9.1,8.3,4.2,8,15.9,7.4,11.2,8.8,7.9,12,10,8.3,8.3,0,0,0,0,0
2012,Jul,12.4,8.5,7.2,4.1,7.3,14.2,5.9,10.2,7.7,7.4,10.5,8.6,6.7,8.7,0,0,0,0,0
2013,Jul,10.8,7.5,6.1,3.8,6.5,12.6,5.3,9.4,7,6.3,9,7.5,6.3,7.8,0,0,0,0,0
2014,Jul,9.5,6.1,5.3,3.1,5.3,11.6,4.2,7.7,5.7,5.6,7.5,6.4,5.2,6.2,0,0,0,0,0
2015,Jul,8.3,5.5,4.3,2.5,4.5,9.1,3.9,6.9,4.8,4.8,6.2,5.5,4.4,5.2,0,0,0,0,0
2016,Jul,6.5,5.1,4.2,2.5,4.2,8.4,3.8,5.5,4.6,4.2,5.5,4.9,4.7,4.9,0,0,0,0,0
2017,Jul,7.1,4.5,3.7,2.3,3.7,7.4,3.8,5.1,4,3.9,4.8,4.2,4.2,4.7,0,0,0,0,0
2018,Jul,5.2,4.1,3.2,2.2,3.3,6.6,3.1,4.4,3.4,3.6,4.2,3.6,3.9,4,0,0,0,0,0
2019,Jul,5.2,3.6,3.2,2.1,3.3,5.9,2.8,4.5,3.3,3.3,4,3.2,3.5,3.8,0,0,0,0,0
2020,Jul,15.4,10.8,10,6.7,9.2,14.6,12,12.9,9.4,10.5,13.4,12.5,9.3,12.7,11609412,9746886,9094549,12634363,111091390
2021,Jul,9.5,6.3,5,3.1,4.8,8.2,5.3,6.6,5.4,5,7.4,4.5,5.6,6.9,122149679,75953211,95481236,65943806,1061500507
2010,Aug,14.1,10,8.7,4.6,8.6,15.9,7.3,12,9.6,8,12.4,10.8,8.1,8.6,0,0,0,0,0
2011,Aug,14.1,9.3,8.3,4.2,7.9,16.4,7.2,11.2,8.7,7.9,11.9,9.9,8.2,8.4,0,0,0,0,0
2012,Aug,11.8,8.6,6.7,4.1,7.2,13.8,5.9,10.1,7.6,7.3,10.3,8.5,6.6,8.6,0,0,0,0,0
2013,Aug,11.1,7.4,6.1,3.4,6.4,12.8,5.1,9.2,7.1,6.2,8.9,7.4,6.3,7.8,0,0,0,0,0
2014,Aug,9.2,6.1,5.3,3.2,5.3,11.4,4.5,7.4,5.7,5.6,7.4,6.3,5.1,6.1,0,0,0,0,0
2015,Aug,7.9,5.5,4.3,2.4,4.4,9.4,3.4,6.6,4.7,4.6,6,5.4,4.5,5,0,0,0,0,0
2016,Aug,7.4,5,4.2,2.6,4.3,8,4.1,5.6,4.5,4.4,5.5,4.9,4.7,5,0,0,0,0,0
2017,Aug,6.1,5.1,3.7,2.4,3.8,7.7,3.9,5.2,4.1,4,4.8,4.2,4.2,4.7,0,0,0,0,0
2018,Aug,5.7,3.9,3.5,2,3.4,6.3,3,4.7,3.5,3.5,4.2,3.6,3.8,3.9,0,0,0,0,0
2019,Aug,5.4,3.6,3,2.1,3.4,5.4,2.8,4.2,3.3,3.3,4.1,3.2,3.5,3.8,0,0,0,0,0
2020,Aug,12.6,9.8,8,5.3,7.3,13,10.7,10.5,8,8.4,11.9,8.9,8.1,11,19293506,17470128,17306997,13263222,166536538
2021,Aug,7.8,6,5.1,2.8,4.5,8.8,4.6,6.4,5.1,4.8,7,4.3,5.4,6.6,131774496,91121919,105282868,68551270,1151018178
2010,Sep,15.6,9.7,8.9,4.5,8.6,16,6.6,12.3,9.6,8,12.4,10.8,8.1,8.6,0,0,0,0,0
2011,Sep,14.3,9.4,8.5,4.2,7.9,15.9,8,11.2,8.7,8.2,11.8,9.7,8,8.4,0,0,0,0,0
2012,Sep,11.7,8.5,6.6,4,7,13.6,4.9,9.7,7.3,7.1,10.2,8.4,6.5,8.6,0,0,0,0,0
2013,Sep,10.5,7.6,6.1,3.7,6.3,13,5.4,8.8,7.1,6.2,8.8,7.3,6.2,7.6,0,0,0,0,0
2014,Sep,8.5,5.4,5.4,2.9,5.1,11,4.4,6.8,5.3,5.5,7.3,6.2,5,6,0,0,0,0,0
2015,Sep,7.9,5.3,4.3,2.5,4.4,9.3,3.5,6.2,4.7,4.6,5.9,5.3,4.5,4.9,0,0,0,0,0
2016,Sep,8.5,5.3,4.2,2.5,4.4,8.5,3.8,6.4,4.7,4.4,5.5,4.9,4.8,5,0,0,0,0,0
2017,Sep,6.7,4.4,3.6,2.3,3.7,7.2,3.6,5.1,3.9,3.9,4.7,4.2,4.1,4.7,0,0,0,0,0
2018,Sep,5.7,3.8,3.2,2,3.3,6.2,3.5,4.6,3.4,3.3,4.2,3.5,3.8,3.9,0,0,0,0,0
2019,Sep,4.8,3.6,2.9,2,3.2,5.5,2.5,3.9,3.2,3.1,4.1,3.1,3.6,3.9,0,0,0,0,0
2020,Sep,10.6,9,8.1,4.8,7,12.1,8.9,10.3,7.4,7.7,10.3,8.7,7.7,10.3,23161326,20108587,21606639,13469324,199617324
2021,Sep,7.9,5.8,4.5,2.5,4.2,7.9,4.2,6.3,4.7,4.2,6.4,3.9,5.1,6,138670868,104089489,117003017,70629706,1250234524
2010,Oct,15,9.8,8.2,4.6,8.6,15.6,7.2,12.3,9.4,8,12.4,10.8,8.2,8.6,0,0,0,0,0
2011,Oct,13.5,9.4,8.1,4.3,7.9,14.6,7.4,11.3,8.6,7.8,11.6,9.6,7.8,8.5,0,0,0,0,0
2012,Oct,12.1,8.3,6.9,3.7,6.9,14.1,4.9,10,7.2,7.1,10,8.3,6.5,8.5,0,0,0,0,0
2013,Oct,10.9,7.2,6.4,3.7,6.3,12.8,5.4,9.1,6.9,6.3,8.6,7.2,6.1,7.5,0,0,0,0,0
2014,Oct,8.1,5.7,4.9,3,4.9,10.6,5.1,6.8,5.1,5.4,7.2,6.1,4.9,5.9,0,0,0,0,0
2015,Oct,7.6,5.2,4.4,2.5,4.4,9,3.5,6.3,4.7,4.6,5.8,5.3,4.5,4.9,0,0,0,0,0
2016,Oct,7.4,5.4,3.9,2.6,4.4,8.4,3.4,5.8,4.6,4.4,5.5,4.9,4.8,5,0,0,0,0,0
2017,Oct,5.9,4.2,3.7,2.1,3.5,7.4,3,4.9,3.8,3.7,4.6,4.1,4.1,4.7,0,0,0,0,0
2018,Oct,5.9,4,3.1,2,3.3,6.3,3.1,4.4,3.5,3.4,4.3,3.5,3.8,3.9,0,0,0,0,0
2019,Oct,5.5,3.7,2.8,2.1,3.2,5.5,2.8,4.1,3.2,3.2,4.1,3,3.5,3.9,0,0,0,0,0
2020,Oct,9.8,8.1,6.5,4.2,6,10.8,7.6,8.8,6.7,6.5,9.5,7.2,7.1,9.3,27240507,23278925,26338246,15050023,251248282
2021,Oct,7.4,5.4,4.4,2.4,4,7.9,4.2,5.9,4.3,4.4,6.1,3.7,5,5.7,149871455,113329514,130146709,77480492,1392847523
2010,Nov,15.4,10,8.6,5,8.9,16.2,7.5,12.9,9.9,8.4,12.4,10.8,8.2,8.5,0,0,0,0,0
2011,Nov,12.8,8.8,7.7,4.4,7.7,15.6,6.4,11.2,8.2,7.8,11.5,9.4,7.5,8.5,0,0,0,0,0
2012,Nov,12,8,6.5,3.9,6.8,13.3,6.3,9.9,7.2,7,9.9,8.2,6.5,8.4,0,0,0,0,0
2013,Nov,10.7,7.2,6.4,3.4,6.1,12.3,5.2,8.7,6.6,6.2,8.5,7.1,6,7.3,0,0,0,0,0
2014,Nov,8.6,5.7,4.9,3.2,5,10.9,4.8,6.6,5.4,5.3,7.1,6,4.8,5.8,0,0,0,0,0
2015,Nov,6.8,5.4,4.4,2.5,4.4,9.4,3.9,6.4,4.8,4.6,5.8,5.2,4.5,4.9,0,0,0,0,0
2016,Nov,7.8,5,3.9,2.4,4.2,8.1,3.1,5.8,4.3,4.3,5.4,4.8,4.8,4.9,0,0,0,0,0
2017,Nov,5.2,4.4,3.6,2.1,3.7,7.4,3,4.8,3.8,3.7,4.5,4.1,4.1,4.6,0,0,0,0,0
2018,Nov,5.6,3.5,3.1,2.2,3.4,6.1,2.8,4.5,3.3,3.4,4.3,3.6,3.8,4,0,0,0,0,0
2019,Nov,5.3,3.7,2.9,2,3.2,5.6,2.6,4.2,3.2,3.2,4.1,2.9,3.5,3.9,0,0,0,0,0
2020,Nov,9,7.7,6.3,4.2,5.9,10.3,6.7,8.4,6.7,6.1,9.2,6.7,6.9,9.1,32213006,26828872,31951160,17200583,338222973
2021,Nov,5.7,5.2,3.7,2.3,3.7,6.7,3.8,5.2,4,4,5.8,3.5,4.9,5.4,150301676,111320630,129579715,79218389,1419741787
2010,Dec,15,9.8,8.1,4.8,8.5,15.5,7.2,12.9,9.4,8,12.4,10.7,8.2,8.5,0,0,0,0,0
2011,Dec,13.7,8.7,7.6,4.1,7.5,15.4,6.8,11.1,8,7.8,11.3,9.3,7.3,8.6,0,0,0,0,0
2012,Dec,11.8,8,6.9,4,6.9,14,6.6,9.6,7.2,7.4,9.8,8.1,6.5,8.4,0,0,0,0,0
2013,Dec,9.8,7,6.2,3.3,5.9,11.9,4.3,8.3,6.3,6.1,8.4,7,5.8,7.1,0,0,0,0,0
2014,Dec,8.6,5.3,5,2.8,4.7,10.6,4.4,6.4,5.2,5.1,6.9,6,4.6,5.8,0,0,0,0,0
2015,Dec,6.4,5.6,4.1,2.5,4.4,8.5,4.1,6.2,4.6,4.5,5.7,5.1,4.5,4.8,0,0,0,0,0
2016,Dec,7.5,5.1,3.8,2.5,4.2,7.9,2.7,5.9,4.4,4.3,5.4,4.8,4.8,4.8,0,0,0,0,0
2017,Dec,6.2,4.2,3.6,2.2,3.7,6.7,2.5,5,3.7,3.7,4.5,4,4.1,4.5,0,0,0,0,0
2018,Dec,5.8,3.8,3.3,2.2,3.4,6.6,3.3,4.4,3.6,3.5,4.3,3.6,3.8,4,0,0,0,0,0
2019,Dec,5.2,3.7,2.7,1.9,3.2,5.9,2.5,4.2,3.1,3.2,4.1,2.9,3.5,3.9,0,0,0,0,0
2020,Dec,9.8,7.8,6.3,3.8,6,9.9,5.9,9.3,6.4,6.3,9.2,6.5,6.9,8.8,55732621,35950919,46197794,25311941,528002244
2021,Dec,5.2,4.6,3.6,2.1,3.2,7.1,3.8,4.9,3.6,3.6,5.8,3.5,4.8,5.4,161883349,118409818,138332050,92035228,1578105385